Time,Temperature,Humidity,Speed,Flame Sensor,Front Sensor,Back Sensor,Latitude,Longitude,Drowsiness
Time,Temperature,Humidity,Speed,Flame Sensor,Front Sensor,Back Sensor,Latitude,Longitude,Drowsiness
09:53:41,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:41,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:43,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:43,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:43,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:43,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:43,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:43,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:45,30.50,96.6,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:45,30.50,96.6,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:45,30.50,96.6,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:45,30.50,96.6,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:45,30.50,96.6,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:45,30.50,96.6,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:47,30.50,96.6,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:47,30.50,96.6,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:47,30.50,96.6,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:47,30.50,96.6,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:47,30.50,96.6,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:47,30.50,96.6,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:49,30.50,96.6,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:49,30.50,96.6,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:49,30.50,96.6,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:49,30.50,96.6,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:49,30.50,96.6,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:49,30.50,96.6,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:51,30.50,96.6,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:51,30.50,96.6,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:51,30.50,96.6,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:51,30.50,96.6,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:51,30.50,96.6,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:51,30.50,96.6,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:53,30.50,96.6,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:53,30.50,96.6,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:53,30.50,96.6,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:53,30.50,96.6,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:53,30.50,96.6,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:53,30.50,96.6,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:55,30.50,96.6,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:55,30.50,96.6,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:55,30.50,96.6,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:55,30.50,96.6,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:55,30.50,96.6,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:55,30.50,96.6,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:57,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:57,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:57,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:57,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:57,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:57,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:59,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:59,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:59,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:59,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:59,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:59,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:01,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:54:01,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
